show,year,genre,rating,votes,runtime,gross
"Alan Saldaña: Mi vida de pobre","2017 TV Special",Comedy,6.1,62.0,70.0,""
"Alejandra Azcárate","",Comedy,0.0,0.0,0.0,""
"Alejandro Riaño: Especial de stand-up","2018 TV Special",Comedy,4.9,60.0,0.0,""
"Aleksandr's Price",2013,Drama,4.9,687.0,108.0,""
Alex,20172019,"Action,Crime,Thriller",7.38,27.5,7.83,""
"Alex Fernández: El mejor comediante del mundo","2020 TV Special",Comedy,6.1,125.0,51.0,""
"Alex Strangelove",2018,"Comedy,Drama,Romance",6.3,15972.0,99.0,""
"Alexa & Katie",20182020,"Comedy,Drama",7.5,3660.0,25.0,""
"Alexis Viera, una historia de superación",2019,Documentary,7.2,42.0,68.0,""
Algoissjiman,2021,"Drama,Romance",7.7,472.0,70.0,""
"Alguien tiene que morir",2020,"Crime,Drama,Thriller",6.68,1130.5,74.5,""
"Alhambeura Goongjeonui Chooeok",20182019,"Drama,Romance,Sci-Fi",7.8,4367.0,60.0,""
"Ali & the Queens",2021,"Comedy,Drama",7.1,791.0,100.0,""
"Ali Wong: Baby Cobra","2016 TV Special",Comedy,7.6,6141.0,60.0,""
"Ali Wong: Hard Knock Wife","2018 TV Special",Comedy,7.4,4199.0,64.0,""
"Ali's Wedding",2017,"Comedy,Drama,Romance",6.9,4644.0,110.0,""
"Alias Grace",2017,"Biography,Crime,Drama",7.7,28424.0,267.0,""
"Alice Júnior",2019,"Animation,Comedy,Drama",7.0,448.0,87.0,""
"Alice Through the Looking Glass",2016,"Adventure,Family,Fantasy",6.2,98302.0,113.0,77.04
"Alice in Borderland",2020,"Action,Fantasy,Mystery",7.68,3189.89,47.22,""
"Alice in Wonderland","","Adventure,Family,Fantasy",0.0,0.0,0.0,""
"Alien Contact: Outer Space","2017 Video",Documentary,3.9,421.0,63.0,""
"Alien Secrets","2006 Video","Comedy,Drama,Sci-Fi",5.5,37.0,86.0,""
"Alien TV",2020,"Animation,Comedy,Family",6.2,228.0,0.0,""
